tweetID,text,language
1494309549632733190,"4/ We hear and value the #Cartesi community's feedback, stay tuned for our upcoming updates. Let’s build this OS together.

For more details, check out our full blog post on our new development updates: https://t.co/vplyNH7nN5",en
1494309547153911820,"3/ We're redesigning our development updates and will be releasing an updated roadmap and communication plan very soon. We’re making it appealing to both blockchain &amp; mainstream developers, investors &amp; crypto enthusiasts, as well as end-users of The Blockchain OS's #DApps.",en
1494309544700223493,"2/ With the expansion of our project and new processes in place, #Cartesi requires new ways to properly set expectations and maintain technical transparency for our research &amp; development activities.",en
1494309541894180873,"Hello, new roadmap. 

Blockchain technology is evolving at a rapid pace. And so is the #Cartesi team. We're expanding on exciting plans that involve non-stop, pioneering academic research, as well as continuous efforts to solve software engineering challenges. Learn more ⬇️ $CTSI",en
1494248387977297930,"Want to learn how #Cartesi is revolutionizing gaming?

We're excited to introduce The Blockchain OS to the @BGameAlliance community, showing how this makes #DApps more powerful, cost-effective, easier to develop &amp; portable.

🗓  18th Feb 2022, 4PM CET
📍  https://t.co/q43VA3OsMO https://t.co/GdGSHYPYso",en
1494236285975859205,"We're hiring a Business Ambassador! $CTSI

Imagine placing yourself at the cutting edge of technology. Spreading the word about The Blockchain OS and its unique technology. Mentor, participate &amp; create content to scale up the #Cartesi ecosystem. Learn more https://t.co/i3WxBPl0HY https://t.co/ikaxglr4Wi",en
1494130778472472580,"RT @NOWPayments_io: Hey, @cartesiproject community! Any merchants out there?

Would you sell your goods as a part of a subscription plan &amp;…",en
1493993756739223557,"Live now: https://t.co/ORnVKRgLDV

Hear from #Cartesi CEO, @erickdemoura, plus other gaming experts, innovators, and creators in @thecryptovalley's #blockchaingaming panel. From the benefits of blockchain gaming for users, gaming economics, and more tune in now to listen. $CTSI https://t.co/JW3RlriO5r",en
1493948697792565252,"RT @ETHDubaiConf: 📢 #ETHDubai’s founding sponsor @cartesiproject brings a Linux OS to blockchain, making it possible to create full-blown d…",en
1493946691506028549,"Want a quick rundown of new updates from your favorite #Cartesi projects? February's 2-min development recap includes:

- Rollups: New ecosystem contributors onboarding
- Poker: MVP testing underway
- Cartesi Machine &amp; Server improvements 

See more: https://t.co/yd4Nq8WTAY $CTSI",en
